log.no2	log.cars	temp	wind.speed	hour.of.day
3.71844	7.6912	9.2	4.8	20
3.10009	7.69894	6.4	3.5	14
3.31419	4.81218	-3.7	0.9	4
4.38826	6.95177	-7.2	1.7	23
4.3464	7.51806	-1.3	2.6	11
4.16044	7.67183	2.6	1.6	19
4.01277	5.52545	-7.9	1.6	5
2.15176	4.68213	-4.1	3.8	4
3.157	7.15618	-12.7	5.2	12
2.37955	4.74493	-1.6	3	3
3.83298	5.81114	-3.1	1.8	2
4.48187	8.10892	1	1.2	18
4.0483	8.31385	12.2	4	17
4.00186	5.22036	-1.5	2.4	5
3.2308	6.40853	-0.9	3	1
4.67189	7.3192	-8.5	0.8	20
2.73437	6.6174	6.5	4.1	24
3.49651	7.76938	4.2	7.1	10
3.67122	6.4677	-1.1	2.5	6
3.67377	7.65064	0.8	3.4	12
3.15274	7.75061	8.2	4.5	14
3.42751	5.18178	0.2	0.4	5
4.32413	7.63964	-2.1	4.3	11
3.65584	8.00703	-2.8	6	15
3.93183	7.75319	-5.4	2.5	20
2.28238	4.65396	-5.7	4.9	4
4.13035	6.67582	6.6	1.6	23
3.77963	7.79688	5.7	4.8	11
3.97968	8.02224	13.8	0.8	17
3.7542	7.48829	3.2	4.2	12
3.45632	7.75148	2.1	4.9	19
2.36085	6.12468	5.3	3.2	1
4.23411	7.71244	7.5	1.8	12
2.2192	7.56941	10.7	3.1	13
4.53475	7.35947	-9.6	1.3	21
2.10413	7.99564	3.2	6.5	18
4.5819	8.30251	3.5	0.5	8
4.03247	5.95584	6.7	1.1	5
3.21084	6.74052	-6.4	2.8	22
4.04655	6.45205	-3	0.6	6
3.94546	6.39359	-13.4	4.4	6
3.89182	7.16317	1.4	0.9	10
3.22287	7.643	8.5	4.3	13
3.3569	5.93754	-2.8	2.1	1
3.31782	7.61923	16.6	4.8	14
3.81551	8.34854	2.7	7.7	17
3.45632	8.1274	19.1	5.1	16
2.66723	6.83626	7.8	7.5	21
3.76815	5.27811	1.5	3.3	5
2.87356	5.68358	0.3	2.1	5
3.48431	7.76004	-7.3	0.5	13
2.92852	6.30079	-1.6	2	7
3.32143	5.52146	1.1	1	5
4.35543	7.79811	16.1	1.7	19
3.7329	6.14419	-7.9	1.2	11
2.70805	6.54965	1.1	2.8	24
2.4248	5.64545	0.3	7.1	2
3.45632	6.632	4.1	3.9	6
4.26127	7.64012	5.9	2.4	16
2.57261	6.86589	-6.8	6.9	10
3.79549	6.6896	0.3	0.6	21
4.08429	7.36771	1.8	1.7	22
5.11259	7.6256	-7.9	1	12
3.37417	5.50533	3.4	6.3	2
4.13035	8.06778	3.9	2.8	18
4.35927	7.76345	9.2	5.7	14
4.27667	8.25713	11	5.5	17
2.69463	5.57595	-3.5	4.6	5
4.04655	7.93487	9.7	1.8	15
3.91202	6.32972	1.5	1.6	24
3.19458	4.83628	2	1.7	4
4.01998	7.78322	3.7	2.2	19
3.2068	7.67276	-7.1	1.5	15
3.8111	8.22013	2	3.5	8
3.87536	7.53155	-0.7	3.3	20
4.43438	7.83992	1	6.9	11
2.85647	5.0626	2.4	2.1	4
4.2312	8.17245	4.2	5.9	16
4.11087	8.24905	0.8	1.3	8
3.48124	6.53088	0.5	2.1	23
4.10099	8.18702	-4	0.9	16
3.32504	7.81682	-3.6	4	18
4.75014	7.62462	3.8	2	20
2.62467	7.23634	5	3.5	23
3.99268	7.98718	-1.6	5.3	18
3.95316	7.41156	3.3	6.8	20
